project_id,snapshot_date,project_name,project_type,road_category,region,district,constituency,start_location,end_location,length_km,contractor,is_local_contractor,procurement_method,contract_value_ghs,funding_source,announcement_date,contract_award_date,commencement_date,expected_completion_date,status,pct_complete,amount_released_ghs,amount_spent_ghs,beneficiaries_est,jobs_est,source_url,date_accessed,verification_status,data_provenance,notes
BP-0001,2026-08-02,Accra-Kumasi Expressway,road,trunk,multi-region,,,Accra,Kumasi,176,unknown - procurement not yet awarded,,competitive_tender,,gog_domestic,2025-09,,,2028,procurement,,,,,,https://www.myjoyonline.com/government-secures-1-7b-for-accra-kumasi-expressway/,2026-08-02,officially_announced,search_synthesis,"Estimated total cost USD4bn; USD1.7bn secured as of Jul 2026. Structured as an SPV that will build and manage the road for 50 years, funded through GoG budgetary allocation per this source. Feasibility/design due end Aug 2026; main construction procurement to start Sep 2026. Contract value in GHS not directly stated; USD figures given instead - do not convert without a dated exchange rate."
BP-0002,2026-08-02,Adawso-Ekye Amanfrom Bridge,bridge,trunk,Eastern,,,Adawso,Ekye Amanfrom,3.6,unknown,,unknown,,gog_domestic,,,,2028,under_construction,,,,,,https://gna.org.gh/2025/11/gh%C2%A230-billion-earmarked-for-big-push-infrastructure-roads-ministry-gets-gh%C2%A24-3-billion/,2026-08-02,officially_announced,search_synthesis,"Described as will be the longest permanent bridge in Ghana on completion; connects Kwahu Afram Plains to the national road network. NOTE: an earlier search pass described a different bridge (Dambai, over the Oti River) as 1.6km and 'longest in Ghana's history' - that superlative claim appears in sources to actually belong to this bridge (3.6km) rather than Dambai (1.49km per BP-0003). Flagged as a live source discrepancy, not resolved here - see sources.md discrepancy log #5."
BP-0003,2026-08-02,Dambai Bridge (Oti River),bridge,trunk,Oti,,,Dambai,Dodoikope,1.49,unknown,,unknown,,gog_domestic,,,,,under_construction,6,,,,,https://www.modernghana.com/news/1456844/excitement-in-oti-region-as-dambai-bridge-equipmen.html,2026-08-02,independently_verified,search_synthesis,"1.49km bridge plus ~6.8km approach roads on the Eastern Corridor. As of end June 2026, physical progress reported at 6%, 'slightly ahead of schedule' per government source - foundation works and temporary bridge construction underway. Commitment authorisation for this project confirmed via Roads Minister statement (relayed by government spokesperson Felix Kwakye Ofosu)."
BP-0004,2026-08-02,Tema-Aflao Road (Section 1 dualisation),road,trunk,multi-region,,,Tema,Aflao,,unknown,,unknown,,gog_domestic,,,,2027,under_construction,,,,,,https://www.gbcghanaonline.com/general/promise-delivered-10bn-big-push-roads-project-begins/2025/,2026-08-02,officially_announced,search_synthesis,"Named repeatedly as one of the major corridors 'recording significant progress' as of mid-2026, alongside Ofankor-Nsawam and Atimpoku-Ho-Aflao. No contract value, contractor, or precise completion percentage found via search."
BP-0005,2026-08-02,Ofankor-Nsawam Road (dual carriageway),road,trunk,Greater Accra / Eastern,,,Ofankor,Nsawam,,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://mrh.gov.gh/big-push-infrastructure-programme/,2026-08-02,officially_announced,search_synthesis,"Cited as a major-progress corridor as of mid-2026 alongside Tema-Aflao and Atimpoku-Ho-Aflao. Row-level tracker data (from MRH's own Top 20/Bottom 20 rankings) was not directly retrievable in this environment - see methodology.md sec2.7."
BP-0006,2026-08-02,Atimpoku-Ho-Aflao Road,road,trunk,Eastern / Volta,,,Atimpoku,Aflao,,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://mrh.gov.gh/big-push-infrastructure-programme/,2026-08-02,officially_announced,search_synthesis,"Same as BP-0005 note."
BP-0007,2026-08-02,Kasoa-Winneba Road (rehabilitation and upgrading),road,trunk,Central,,,Kasoa,Winneba,,unknown,,unknown,,gog_domestic,,,,,announced,,,,,,https://www.highways.gov.gh/blog_post/43/,2026-08-02,officially_announced,search_synthesis,
BP-0008,2026-08-02,Mankessim-Ajumako-Breman Asikuma-Agona Swedru Road (rehabilitation),road,trunk,Central,,,Mankessim,Agona Swedru,,unknown,,unknown,,gog_domestic,,,,,announced,,,,,,https://www.highways.gov.gh/blog_post/43/,2026-08-02,officially_announced,search_synthesis,
BP-0009,2026-08-02,Suame Interchange Modification,interchange,trunk,Ashanti,,,Kumasi (Suame),Kumasi (Suame),,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://mrh.gov.gh/suame-interchange-modification-ensures-value-for-money-resolves-traffic-challenges-roads-minister/,2026-08-02,officially_announced,search_synthesis,"Roads Minister publicly defended the interchange modification as ensuring value for money and resolving traffic challenges - framed as a response to criticism, i.e. this is itself a political_claim about value-for-money, not an independently audited assessment."
BP-0010,2026-08-02,Sunyani Outer Ring Road,road,urban,Bono,,,Sunyani,Sunyani,,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://www.myjoyonline.com/government-begins-87-road-projects-under-big-push-programme/,2026-08-02,officially_announced,search_synthesis,"One of close to four major road projects reported under construction in Bono Region."
BP-0011,2026-08-02,Tamale Outer Ring Road Project,road,urban,Northern,,,Tamale,Tamale,,unknown,,unknown,,gog_domestic,,,,,announced,,,,,,https://mrh.gov.gh/big-push-infrastructure-programme/,2026-08-02,officially_announced,search_synthesis,
BP-0012,2026-08-02,Agona-Nkwanta Road Project,road,trunk,Western,,,Agona Nkwanta,Agona Nkwanta,,unknown,,unknown,,gog_domestic,,,,,announced,,,,,,https://mrh.gov.gh/big-push-infrastructure-programme/,2026-08-02,officially_announced,search_synthesis,
BP-0013,2026-08-02,Cape Coast-Takoradi Highway (dualisation - demolition/clearance phase),road,trunk,Central / Western,,,Cape Coast,Takoradi,,unknown,,unknown,,gog_domestic,,2026-02,,,under_construction,,,,,,https://gna.org.gh/2026/02/road-dualisation-project-ghana-highway-authority-demolishes-structures-along-cape-coast-takoradi-highway/,2026-08-02,independently_verified,search_synthesis,"GHA reported demolishing structures along the route Feb 2026 as part of dualisation - an early/site-clearance construction indicator, not itself a completion metric."
BP-0014,2026-08-02,Nkwanta-Oti Damango section (Eastern Corridor upgrading),road,trunk,Oti,,,Nkwanta,Oti Damango,50.3,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://www.gbcghanaonline.com/news/roads-minister-satisfied-with-progress-of-big-push-projects-in-upper-west-upper-east/2026/,2026-08-02,officially_announced,search_synthesis,
BP-0015,2026-08-02,Tumu-Han-Lawra Road (upgrading),road,trunk,Upper West,,,Tumu,Lawra,,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://www.gbcghanaonline.com/news/roads-minister-satisfied-with-progress-of-big-push-projects-in-upper-west-upper-east/2026/,2026-08-02,officially_announced,search_synthesis,"Inspected directly by the Roads Minister, per the source - one of several projects across Upper West/Upper East cited together."
BP-0016,2026-08-02,Tumu-Sissili-Navrongo Road (upgrading),road,trunk,Upper West / Upper East,,,Tumu,Navrongo,,unknown,,unknown,,gog_domestic,,,,,under_construction,,,,,,https://www.gbcghanaonline.com/news/roads-minister-satisfied-with-progress-of-big-push-projects-in-upper-west-upper-east/2026/,2026-08-02,officially_announced,search_synthesis,
